timestamp,ALLSKY_SFC_SW_DWN_Wh_m2,date,hour,T2M_C,WS10M_m_s
2024-01-01 00:00:00,0.0,2024-01-01,0,15.86,3.92
2024-01-01 01:00:00,0.0,2024-01-01,1,15.31,4.08
2024-01-01 02:00:00,0.0,2024-01-01,2,15.12,4.18
2024-01-01 03:00:00,0.0,2024-01-01,3,15.31,4.22
2024-01-01 04:00:00,0.0,2024-01-01,4,15.86,4.18
2024-01-01 05:00:00,0.0,2024-01-01,5,16.74,4.08
2024-01-01 06:00:00,0.0,2024-01-01,6,17.87,3.92
2024-01-01 07:00:00,124.03,2024-01-01,7,19.2,3.72
2024-01-01 08:00:00,321.63,2024-01-01,8,20.62,3.48
2024-01-01 09:00:00,500.81,2024-01-01,9,22.05,3.22
2024-01-01 10:00:00,625.27,2024-01-01,10,23.37,2.96
2024-01-01 11:00:00,687.78,2024-01-01,11,24.51,2.72
2024-01-01 12:00:00,692.19,2024-01-01,12,25.39,2.51
2024-01-01 13:00:00,634.12,2024-01-01,13,25.94,2.35
2024-01-01 14:00:00,506.33,2024-01-01,14,26.12,2.25
2024-01-01 15:00:00,321.63,2024-01-01,15,25.94,2.22
2024-01-01 16:00:00,122.68,2024-01-01,16,25.39,2.25
2024-01-01 17:00:00,0.0,2024-01-01,17,24.51,2.35
2024-01-01 18:00:00,0.0,2024-01-01,18,23.37,2.51
2024-01-01 19:00:00,0.0,2024-01-01,19,22.05,2.72
2024-01-01 20:00:00,0.0,2024-01-01,20,20.62,2.96
2024-01-01 21:00:00,0.0,2024-01-01,21,19.2,3.22
2024-01-01 22:00:00,0.0,2024-01-01,22,17.87,3.48
2024-01-01 23:00:00,0.0,2024-01-01,23,16.74,3.72
2024-01-02 00:00:00,0.0,2024-01-02,0,16.13,4.11
2024-01-02 01:00:00,0.0,2024-01-02,1,15.58,4.27
2024-01-02 02:00:00,0.0,2024-01-02,2,15.39,4.37
2024-01-02 03:00:00,0.0,2024-01-02,3,15.58,4.4
2024-01-02 04:00:00,0.0,2024-01-02,4,16.13,4.37
2024-01-02 05:00:00,0.0,2024-01-02,5,17.0,4.27
2024-01-02 06:00:00,0.0,2024-01-02,6,18.14,4.11
2024-01-02 07:00:00,126.83,2024-01-02,7,19.47,3.9
2024-01-02 08:00:00,320.73,2024-01-02,8,20.89,3.66
2024-01-02 09:00:00,493.83,2024-01-02,9,22.31,3.4
2024-01-02 10:00:00,622.8,2024-01-02,10,23.64,3.15
2024-01-02 11:00:00,701.7,2024-01-02,11,24.78,2.9
2024-01-02 12:00:00,719.56,2024-01-02,12,25.65,2.7
2024-01-02 13:00:00,658.65,2024-01-02,13,26.2,2.54
2024-01-02 14:00:00,516.23,2024-01-02,14,26.39,2.44
2024-01-02 15:00:00,320.73,2024-01-02,15,26.2,2.4
2024-01-02 16:00:00,121.33,2024-01-02,16,25.65,2.44
2024-01-02 17:00:00,0.0,2024-01-02,17,24.78,2.54
2024-01-02 18:00:00,0.0,2024-01-02,18,23.64,2.7
2024-01-02 19:00:00,0.0,2024-01-02,19,22.31,2.9
2024-01-02 20:00:00,0.0,2024-01-02,20,20.89,3.15
2024-01-02 21:00:00,0.0,2024-01-02,21,19.47,3.4
2024-01-02 22:00:00,0.0,2024-01-02,22,18.14,3.66
2024-01-02 23:00:00,0.0,2024-01-02,23,17.0,3.9
2024-01-03 00:00:00,0.0,2024-01-03,0,16.17,4.24
2024-01-03 01:00:00,0.0,2024-01-03,1,15.62,4.4
2024-01-03 02:00:00,0.0,2024-01-03,2,15.43,4.5
2024-01-03 03:00:00,0.0,2024-01-03,3,15.62,4.54
2024-01-03 04:00:00,0.0,2024-01-03,4,16.17,4.5
2024-01-03 05:00:00,0.0,2024-01-03,5,17.04,4.4
2024-01-03 06:00:00,0.0,2024-01-03,6,18.18,4.24
2024-01-03 07:00:00,126.66,2024-01-03,7,19.5,4.04
2024-01-03 08:00:00,316.2,2024-01-03,8,20.93,3.8
2024-01-03 09:00:00,491.49,2024-01-03,9,22.35,3.54
2024-01-03 10:00:00,634.57,2024-01-03,10,23.68,3.28
2024-01-03 11:00:00,728.24,2024-01-03,11,24.82,3.04
2024-01-03 12:00:00,746.11,2024-01-03,12,25.69,2.83
